Inf_Model,SIM_ID,MAE,P50,P90,P99
TensorRT FP32,112394,0.131404892,0.099971563,0.265756786,0.450757712
TensorRT FP32,112395,0.137766689,0.119200587,0.243818283,0.340591133
TensorRT FP32,112396,0.133037746,0.119242445,0.230878025,0.333903968
TensorRT FP32,112397,0.151403531,0.146194726,0.225812942,0.324560046
TensorRT FP32,112398,0.141668722,0.122760959,0.262502968,0.415975481
TensorRT FP32,112399,0.186799884,0.158140838,0.320582747,0.669417918
TensorRT FP32,112400,0.157826737,0.130172044,0.320731342,0.535152733
TensorRT FP32,112401,0.135942489,0.106054842,0.272727758,0.50519532
TensorRT FP32,112402,0.133374199,0.1034206,0.265150219,0.458576798
TensorRT FP32,112403,0.134606719,0.105199993,0.269721478,0.436181754
TensorRT FP32,112404,0.125019133,0.097534642,0.2544927,0.418622673
TensorRT FP32,112405,0.137244314,0.121888176,0.237290263,0.353301376
TensorRT FP32,112406,0.128529906,0.113563031,0.224282473,0.376220584
TensorRT FP32,112407,0.147475064,0.132351995,0.236195266,0.361276269
TensorRT FP32,112408,0.150692031,0.143064827,0.238965064,0.343455255
TensorRT FP32,112409,0.141953975,0.108895913,0.309548736,0.44269222
TensorRT FP32,112410,0.173466802,0.14288722,0.313098073,0.679311991
TensorRT FP32,112411,0.151718915,0.118507683,0.29821828,0.57070291
TensorRT FP32,112412,0.13713634,0.110405296,0.26777187,0.398877084
TensorRT FP32,112413,0.130183592,0.101662919,0.26678881,0.426518053
TensorRT FP32,112414,0.126273721,0.10715729,0.240880191,0.396218538
TensorRT FP32,112415,0.124169208,0.104728341,0.252408206,0.355269909
TensorRT FP32,112416,0.141936481,0.129875571,0.228426427,0.369569838
TensorRT FP32,112417,0.140760541,0.129976213,0.226641193,0.361243457
TensorRT FP32,112418,0.14483279,0.141957045,0.217937157,0.320550531
TensorRT FP32,112419,0.146830842,0.137720227,0.239921153,0.344625652
TensorRT FP32,112420,0.144822359,0.109636143,0.31510517,0.518203139
TensorRT FP32,112421,0.173857957,0.13581036,0.332405448,0.640853643
TensorRT FP32,112422,0.152661651,0.118682116,0.299326211,0.618635714
TensorRT FP32,112423,0.141490772,0.11884214,0.254671693,0.494514674
TensorRT FP32,112424,0.133758098,0.102130011,0.27075085,0.522787631
TensorRT FP32,112425,0.129592046,0.106883466,0.238846928,0.443318576
TensorRT FP32,112426,0.12635231,0.10421408,0.234288573,0.449073583
TensorRT FP32,112427,0.139661103,0.131776035,0.219359249,0.334043294
TensorRT FP32,112428,0.139449388,0.135713488,0.211446971,0.300130397
TensorRT FP32,112429,0.148738027,0.146759629,0.231846422,0.320673823
TensorRT FP32,112430,0.140504509,0.123608738,0.247330368,0.388566941
TensorRT FP32,112431,0.144378483,0.118224174,0.284886926,0.427464396
TensorRT FP32,112432,0.169002116,0.141575187,0.328902066,0.590494692
TensorRT FP32,112433,0.15584141,0.120608851,0.301456094,0.569917738
TensorRT FP32,112434,0.144129455,0.118688807,0.282905757,0.481366128
TensorRT FP32,112435,0.131718338,0.106182255,0.255908817,0.44771713
TensorRT FP32,112436,0.128521204,0.106539622,0.258733094,0.380879402
TensorRT FP32,112437,0.12362574,0.108663008,0.218386978,0.318738073
TensorRT FP32,112438,0.131683245,0.123537973,0.212397814,0.3105914
TensorRT FP32,112439,0.147954226,0.141349763,0.226140276,0.373786688
TensorRT FP32,112440,0.139008522,0.134402007,0.217875272,0.334563106
TensorRT FP32,112441,0.135911256,0.120240018,0.237427309,0.356335878
TensorRT FP32,112442,0.142071545,0.120573312,0.269316405,0.406384647
TensorRT FP32,112443,0.167720765,0.131197542,0.339740992,0.593322277
TensorRT FP32,112444,0.154984161,0.122648537,0.294311881,0.499606729
TensorRT FP32,112445,0.147960141,0.118018299,0.299543619,0.457863539
TensorRT FP32,112446,0.131101102,0.11145395,0.254731685,0.407708347
TensorRT FP32,112447,0.13055332,0.112452202,0.266265839,0.388267219
TensorRT FP32,112448,0.130677491,0.104149327,0.25523597,0.47265023
TensorRT FP32,112449,0.141377509,0.135334879,0.22599484,0.329917789
TensorRT FP32,112450,0.138965458,0.131781518,0.2223171,0.332099974
TensorRT FP32,112451,0.143641084,0.134713635,0.218569145,0.453062654
TensorRT FP32,112452,0.140137434,0.125091046,0.249659434,0.378416002
TensorRT FP32,112453,0.135542512,0.121779352,0.242086887,0.352000594
TensorRT FP32,112454,0.162477165,0.128161654,0.313485086,0.55026561
TensorRT FP32,112455,0.151564449,0.121311367,0.291679591,0.530833542
TensorRT FP32,112456,0.133655757,0.106246985,0.270954698,0.476862192
TensorRT FP32,112457,0.121053025,0.103785366,0.229367077,0.340376645
TensorRT FP32,112458,0.12204089,0.099688478,0.24151057,0.421374112
TensorRT FP32,112459,0.129632384,0.111771777,0.227992207,0.381514907
TensorRT FP32,112460,0.136402979,0.13182494,0.219646156,0.298511684
TensorRT FP32,112461,0.139247388,0.132589489,0.218122333,0.328410685
TensorRT FP32,112462,0.135376394,0.122185007,0.227873787,0.356982023
TensorRT FP32,112463,0.137043208,0.113785416,0.265840292,0.37266767
TensorRT FP32,112464,0.15176028,0.139044613,0.24966453,0.370181024
TensorRT FP32,112465,0.178075969,0.155623555,0.315046102,0.531059921
TensorRT FP32,112466,0.164515212,0.139191896,0.297569275,0.634033918
TensorRT FP32,112467,0.143836394,0.117704704,0.285670757,0.44972983
TensorRT FP32,112468,0.141355753,0.104139939,0.302875638,0.486425459
