Inf_Model,SIM_ID,MAE,P50,P90,P99
Max AutoTune mode,112427,0.210369855,0.162879318,0.40628165,0.699396551
Max AutoTune mode,112428,0.197629005,0.160209656,0.385489583,0.662194669
Max AutoTune mode,112429,0.203443289,0.178905457,0.356265515,0.757615924
Max AutoTune mode,112430,0.193260878,0.146728337,0.397473454,0.580246866
Max AutoTune mode,112431,0.215028137,0.140233219,0.457525551,0.682686388
Max AutoTune mode,112432,0.247750282,0.164297447,0.540161371,0.877080679
Max AutoTune mode,112433,0.240886182,0.136253536,0.552015066,0.824032485
Max AutoTune mode,112434,0.210287571,0.133211613,0.469052672,0.762262702
Max AutoTune mode,112435,0.206910312,0.126004934,0.497749388,0.699054122
Max AutoTune mode,112436,0.180323228,0.126094669,0.393713295,0.625945807
Max AutoTune mode,112437,0.19670096,0.13333717,0.439471841,0.589024782
Max AutoTune mode,112438,0.209000573,0.156939566,0.440763414,0.667500675
Max AutoTune mode,112439,0.20654799,0.181032479,0.378204107,0.55816704
Max AutoTune mode,112440,0.201569393,0.165889502,0.41138491,0.592783451
Max AutoTune mode,112441,0.195082933,0.14299351,0.404423654,0.581416786
Max AutoTune mode,112442,0.224285543,0.146140084,0.481543124,0.703205526
Max AutoTune mode,112443,0.240744561,0.14282608,0.529673457,0.88585192
Max AutoTune mode,112444,0.219126239,0.132943183,0.489492625,0.745000601
Max AutoTune mode,112445,0.213927001,0.131307602,0.480076134,0.84283942
Max AutoTune mode,112446,0.187997043,0.133830428,0.423832655,0.623001397
Max AutoTune mode,112447,0.198758021,0.134831458,0.450260997,0.596530378
Max AutoTune mode,112448,0.197638303,0.14200148,0.434541523,0.772495866
Max AutoTune mode,112449,0.197338283,0.158368289,0.373346031,0.628244817
Max AutoTune mode,112450,0.221484035,0.174378633,0.453926623,0.715175927
Max AutoTune mode,112451,0.193253487,0.161127493,0.365012646,0.603783846
Max AutoTune mode,112452,0.233583003,0.153716981,0.493985981,0.881581903
Max AutoTune mode,112453,0.211993247,0.154177353,0.464897752,0.707043231
Max AutoTune mode,112454,0.248459101,0.147194698,0.56572175,0.937964916
Max AutoTune mode,112455,0.228255808,0.142018706,0.509549618,0.712589622
Max AutoTune mode,112456,0.198255286,0.126198679,0.453462899,0.78829211
Max AutoTune mode,112457,0.198758364,0.126985982,0.457582772,0.636024594
Max AutoTune mode,112458,0.206630945,0.125697345,0.484403819,0.671876073
Max AutoTune mode,112459,0.199775189,0.152414769,0.43234998,0.611429393
Max AutoTune mode,112460,0.193728775,0.157075137,0.379018426,0.561030924
Max AutoTune mode,112461,0.196656704,0.157417715,0.416278541,0.581833243
Max AutoTune mode,112462,0.207568437,0.147443324,0.440933675,0.726206183
Max AutoTune mode,112463,0.197100922,0.137385726,0.412448764,0.558773041
Max AutoTune mode,112464,0.203747153,0.155995369,0.404267728,0.644855201
Max AutoTune mode,112465,0.233271986,0.176743627,0.466565251,0.746731043
Max AutoTune mode,112466,0.223176241,0.150033593,0.476381689,0.772344768
Max AutoTune mode,112467,0.205775708,0.123473138,0.488406539,0.695766926
Max AutoTune mode,112468,0.205843061,0.117007405,0.467496276,0.79044205
